secID,股票名称,题材,题材汇总,涨停原因,题材（G）,tradeDate
002881.XSHE,美格智能,VR&AR,"算力 光模块,算力 电力,算力,算力 电力 5G,算力 人工智能 5G 消费电子,5G,VR&AR,5G 汽车 消费电子 算力",VR&AR 公司表示基于高算力AI模组更多...,智能座舱 毫米波雷达 车联网(车路协同) 物联网 5G 电力物联网 华为概念 华为海思概念股 移动支付 东数西算(算力) 新能源汽车 比亚迪概念 边缘计算 专精特新 工业互联网 华为汽车 无人驾驶 鸿蒙概念 人工智能 卫星导航 物联网感知层,2024-08-28
300817.XSHE,双飞集团,机器人,"机器人,机器人 减速器",机器人 1、公司是我国较早专业从事更多...,减速器 专精特新 机器人概念 特斯拉概念 人民币贬值受益 军工 长三角一体化 新能源汽车 风电,2024-08-28
000913.XSHE,钱江摩托,其他,"锂电池,新能源汽车,其他,新能源汽车 业绩增长,固态电池 业绩增长",其他 1、国内摩托车龙头企业之一更多...,两轮车 新能源汽车 锂电池概念 创投,2024-08-28
002345.XSHE,潮宏基,大消费,"珠宝首饰 公告 拟增持,大消费",大消费 公司主要产品为珠宝首饰和时更多...,黄金概念 培育钻石 小金属概念 电子商务 网络直播 新零售 NFT概念 高股息精选 迪士尼,2024-08-28
301138.XSHE,华研精机,机器人,"机器人,机器人 机器视觉 智能制造",机器人 公司主要从事瓶坯智能成型系更多...,智能制造 机器视觉 机器人概念,2024-08-28
002489.XSHE,浙江永强,大消费,"业绩增长,大消费",大消费 公司从事户外休闲家具及用品更多...,室外经济 露营经济 旅游概念 电子商务 体育产业 人民币贬值受益 创投 参股银行 独角兽概念 标普道琼斯A股 一带一路 C2M概念 共同富裕示范区 跨境电商 长三角一体化 参股新三板 2024中报预增 外贸受益概念,2024-08-28
301011.XSHE,华立科技,动漫,"动漫,游戏 电竞 VR",动漫 1、公司动漫IP衍生产品配更多...,元宇宙 电子竞技 虚拟现实 VR游戏,2024-08-28
600693.XSHG,东百集团,免税店概念,"免税店概念,零售 免税 消费",免税店概念 公司及子公司兰州置业向有关更多...,免税店 物业管理 新零售 海峡两岸 标普道琼斯A股 冷链物流 网络直播 阿里巴巴概念 统一大市场 跨境电商 福建自贸区 商超百货,2024-08-28
000633.XSHE,合金投资,西部大开发,"有色 高端合金 新能源汽车,有色,有色 高端合金,有色 高端合金 汽车产业链,西部大开发",西部大开发 公司主要产品为高强度耐腐蚀更多...,新疆振兴 新材料概念 核电,2024-08-28
002370.XSHE,亚太药业,猴痘概念,"猴痘概念,医药 原料药 创新药,医药",猴痘概念+化学制药+低价微盘股 猴痘概念+化学制药+低价微更多...,幽门螺杆菌概念 肝炎概念 仿制药一致性评价 创新药 标普道琼斯A股 猴痘概念 仿制药 参股民营银行 医保目录,2024-08-27
300584.XSHE,海辰药业,猴痘概念,"医药 原料药,猴痘概念",猴痘概念+化学制药+创新药 猴痘概念+化学制药+创新药更多...,新冠特效药 生物医药 肝炎概念 创新药 仿制药一致性评价 幽门螺杆菌概念 猴痘概念 锂电池概念 流感 医保目录,2024-08-27
600892.XSHG,大晟文化,游戏,"游戏,股权转让,传媒 影视 游戏,游戏 传媒",网络游戏+影视+唐山国资入主 网络游戏+影视+唐山国资入更多...,手机游戏 网络游戏 文化传媒概念 创投 粤港澳大湾区 国企改革 地方国企改革 影视娱乐,2024-08-27
301207.XSHE,华兰疫苗,疫苗,疫苗,生物疫苗+生物医药+肝炎概念+流感疫苗 生物疫苗+生物医药+肝炎概更多...,生物疫苗 肝炎概念 流感 生物医药,2024-08-27
002555.XSHE,三七互娱,游戏,"游戏 传媒 一季报增长,游戏 传媒 年报增长,游戏 传媒,游戏,传媒 游戏 电竞",上半年业绩增长+将持续季度分红 上半年业绩增长+将持续季度更多...,电子竞技 云游戏 手机游戏 虚拟现实 网络游戏 文化传媒概念 参股新三板 MSCI概念 创投 标普道琼斯A股 在线教育 NFT概念 元宇宙 华为概念 人工智能 ChatGPT概念 同花顺出海50 动漫 音乐产业 影视娱乐,2024-08-27
600529.XSHG,山东药玻,医药,医药,半年报增长+药用玻璃包装+国企 半年报增长+药用玻璃包装+更多...,国企改革 医疗器械概念 地方国企改革 玻璃 疫苗存储 食品包装,2024-08-27
603155.XSHG,新亚强,其他,"有机硅,有机硅 化工,其他",有机硅+功能性助剂产品+基础化工+半导体上游 有机硅+功能性助剂产品+基更多...,化学制品（行业） 有机硅概念 新材料概念 气凝胶,2024-08-27
301115.XSHE,建科股份,房屋检测,"旧改,房屋检测",房屋检测+智慧城市+新型城镇化 房屋检测+智慧城市+新型城更多...,食品安全 碳中和 智慧城市 新型城镇化 芯片概念 节能环保 传感器 高铁 水利 芯片设计,2024-08-27
000779.XSHE,甘咨询,工程检测+工程咨询+数据中心+西部大开发,"算力 人工智能,算力 工程咨询,工程检测+工程咨询+数据中心+西部大开发,西部大开发",工程检测+工程咨询+数据中心+西部大开发 工程检测+工程咨询+数据中更多...,新型城镇化 建筑节能 水利 东数西算(算力) 国资云 国企改革 数据中心 抽水蓄能 光伏概念 数据要素 乡村振兴 土壤修复 数字经济 数据交易中心 西部开发 地方国企改革 甘肃国企改革,2024-08-27
301027.XSHE,华蓝集团,房屋检测+西部大开发+工程咨询+车联网,"光伏 低空经济,基建,房屋检测+西部大开发+工程咨询+车联网,车联网 空间计算",房屋检测+西部大开发+工程咨询+车联网 房屋检测+西部大开发+工程更多...,新型城镇化 地下管网 空间计算 装配式建筑 智慧城市 一带一路 乡村振兴 大数据 建筑节能 绿色电力 光伏建筑一体化 数据要素 数字经济 人工智能 AIGC概念 水利 车联网(车路协同) 北部湾自贸区 海绵城市 东盟自贸区,2024-08-27
300935.XSHE,盈建科创,房屋检测+建筑结构设计软件+能源电力,"国产软件 装配式建筑 教育,次新股 国产软件 人工智能 AI+基建,房屋检测+建筑结构设计软件+能源电力,新型城镇化",房屋检测+建筑结构设计软件+能源电力 房屋检测+建筑结构设计软件更多...,空间计算 国产软件 数据要素 一带一路 装配式建筑 职业教育 数字孪生 数据中心 建筑节能 新型城镇化 信创 云计算 人工智能 光伏概念 风电 地震 国产替代 基建工程,2024-08-27
603153.XSHG,上海建科,房屋体检+上海国资,"旧改,基建,国资 工程咨询 AMC 数据要素,大基建 环保 数据要素,上海自由贸易港 新型城镇化,基建 一带一路 新型城镇化,次新 一带一路,上市新股 一带一路,上市新股,房屋体检+上海国资,基建 一带一路,基建 装配式建筑,上海 工程咨询服务,国资 工程咨询服务 AMC 数据要素,大基建 节能环保 国企改革,上海自由贸易港 大基建",房屋体检+上海国资 房屋体检+上海国资行业原因更多...,建筑节能 装配式建筑 新型城镇化 上海国企改革 节能环保 国企改革 一带一路 雄安新区 智慧城市 数据中心 债转股(AMC概念) 碳中和 智能制造 数字孪生 工业4.0 人工智能 自由贸易港 文化传媒概念 地方国企改革,2024-08-27
603237.XSHG,五芳斋,月饼+超跌反弹,月饼+超跌反弹,月饼+超跌反弹 月饼+超跌反弹1、今年中秋更多...,预制菜 新零售 电子商务 长三角一体化 共同富裕示范区 虚拟数字人 抖音小店 大消费 京东概念 老字号,2024-08-27
603183.XSHG,建研院,房屋检测+老旧小区改造+工程检测,"旧改,房屋检测+老旧小区改造+工程检测,基建 公告,业绩增长 工程检测 城市更新",房屋检测+老旧小区改造+工程检测 房屋检测+老旧小区改造+工更多...,新型城镇化 装配式建筑 建筑节能 职业教育 智慧城市 海绵城市,2024-08-27
300767.XSHE,震安科技,建筑减隔震技术+西部大开发+核电,建筑减隔震技术+西部大开发+核电,建筑减隔震技术+西部大开发+核电 建筑减隔震技术+西部大开发更多...,化学制品（行业） 装配式建筑 雄安新区 核电 地震,2024-08-27
300977.XSHE,深圳瑞捷,,人工智能大模型,NA NA(同花顺)更多...,AI语料 新型城镇化 装配式建筑 数据中心 数字经济 碳中和 雄安新区 数据要素 人工智能 水利 智慧城市 智慧政务 数据存储,2024-08-27
688670.XSHG,金迪克科,疫苗,疫苗,NA NA(同花顺)更多...,,2024-08-27
300716.XSHE,泉为科技,光伏,"光伏 异质结电池 头盔,环保 可降解塑料 光伏,光伏",光伏 子公司山东基地HJT项目首更多...,化学制品（行业） 钙钛矿电池 HJT电池 可降解塑料 新材料概念 节能环保 智能音箱 碳中和 新能源汽车 光伏概念 储能 华为汽车 长安汽车概念,2024-08-26
002398.XSHE,垒知集团,旧改,"旧改,一带一路",旧改 1、公司在BIM及装配式建更多...,装配式建筑 建筑节能 新型城镇化 光伏概念 储能 光伏建筑一体化 新材料概念 医疗器械概念 电子商务 数字经济 一带一路 ERP概念 腾讯概念 数据安全 福建自贸区 AIGC概念 地下管网 海峡两岸 参股民营银行,2024-08-26
001373.XSHE,翔腾新材,华为海思,"面板 OLED 消费电子,次新股 OLED,其他,次新 面板 外销,面板 消费电子,面板,华为海思,消费电子 光学光电子 面板 OLED 外高销占比,次新",华为海思 公司主要产品为偏光片、光学更多...,智能制造 华为概念 消费电子概念 OLED MiniLED 独角兽概念 人民币贬值受益 工业4.0 OLED材料,2024-08-26
603663.XSHG,三祥新材,固态电池,"有色 锆,固态电池,液态金属 有色金属 固态电池,新能源汽车 固态电池 有色 锆,有色资源 固态电池,液态金属 有色金属 锂电池,新能源汽车 固态电池 锆材料",固态电池 1、公司生产的锆材料已得到更多...,固态电池 新材料概念 稀土永磁 宁德时代概念 专精特新 一体化压铸 核电,2024-08-26
603051.XSHG,鹿山新材,光伏,"光伏 BC电池 POE胶膜,光伏 异质结电池,光伏,光伏 业绩增长,光伏 POE胶膜",光伏 国内领先的高性能热熔粘接材更多...,POE胶膜 BC电池 钙钛矿电池 新材料概念 节能环保 光伏概念 水利 HJT电池 TOPCON电池 锂电池概念 氢能源 固态电池 比亚迪概念 2024中报预增 国产替代 西气东输 高送转预期,2024-08-26
002632.XSHE,道明光学,石墨烯 折叠屏,"手机产业链,AI手机,化工 消费电子 VR&AR LED 锂电池,AI手机 手机产业链,VRAR,石墨烯 折叠屏,AI手机 消费电子 固态电池 石墨烯",石墨烯 公司石墨烯散热膜已应用于O更多...,化学制品（行业） 消费电子概念 柔性屏(折叠屏) AI手机 新材料概念 锂电池概念 虚拟现实 安防 新能源汽车 参股新三板 节能照明 石墨烯 元宇宙 固态电池 华为概念 共同富裕示范区 光伏概念 中俄贸易概念 增强现实 VR设备,2024-08-26
002580.XSHE,圣阳股份,固态电池,"固态电池,储能 业绩增长,锂电池 储能 业绩增长",固态电池 公司表示有技术团队开展固态更多...,锂电池概念 储能 钠离子电池 军工 雄安新区 创投 动力电池回收 数据中心 高铁 国企改革 华为概念 固态电池 轨道交通 地方国企改革 磷酸铁锂 能源互联网 锂电制造 山东国企改革,2024-08-26
300606.XSHE,金太阳创,折叠屏,"折叠屏,半导体 机器人",折叠屏 子公司金太阳精密为下游客户更多...,富士康概念 消费电子概念 新型工业化 新材料概念 高端装备 工业母机 存储芯片 3D打印 机器人概念 芯片概念 大飞机 通用航空 第三代半导体,2024-08-26
300709.XSHE,精研科技,折叠屏,"消费电子 液冷服务器 机器人 业绩增长,折叠屏,华为产业链 液冷服务器 消费电子 业绩增长",折叠屏 公司已布局折叠屏手机转轴多更多...,液冷服务器 消费电子概念 智能音箱 智能穿戴 特斯拉概念 无线耳机 机器人概念 比亚迪概念 2024中报预增 谷歌概念,2024-08-26
688251.XSHG,井松智能,业绩增长,业绩增长,业绩增长 智能仓储物流系统提供商，中更多...,智能物流 机器人概念 比亚迪概念,2024-08-26
002631.XSHE,德尔未来,房地产,"木地板+家居产品+石墨烯+核污染防治,房地产,石墨烯,石墨烯 锂电池",房地产 1、公司的主营业务为木地板更多...,C2M概念 石墨烯 节能环保 智能家居 柔性屏(折叠屏) 长三角一体化 核污染防治 碳基材料,2024-08-26
600506.XSHG,统一股份,云计算数据中心,"云计算数据中心,石油化工 大农业 汽车热管理,石油化工 农业种植,算力 云计算数据中心 液冷 大农业,算力 液冷,算力 农业 液冷IDC 新能源汽车 石油化工,石油化工 大农业,算力 液冷服务器 新能源汽车 石油化工,东数西算/算力,算力 液冷服务器,液冷服务器 新能源汽车 石油化工,算力 液冷服务器 石油化工,算力 液冷 储能 机器人",云计算数据中心 国产润滑油龙头品牌，全资子更多...,乡村振兴 汽车热管理 液冷服务器 土地流转 新能源汽车 国企改革 碳中和 新零售 高压快充 风电 电子商务 2024中报预增 京东概念,2024-08-26
603528.XSHG,多伦科技,车联网/车路云,"车联网,车联网 智能电网 无人驾驶 充电桩,卫星互联网 人工智能 芯片,芯片 汽车后市场 智能驾驶,国产软件 ChatGPT 卫星导航,教育 国产软件 人工智能,卫星互联网 人工智能 国产软件 智能制造 芯片,卫星互联网 智能驾驶 ChatGPT,车联网/车路云",车联网/车路云 公司聚焦智慧车管、智慧驾培更多...,车联网(车路协同) 智能交通 无人驾驶 职业教育 在线教育 卫星导航 物联网 云计算 人工智能 机器视觉 国产软件 芯片概念 比亚迪概念 机器人概念 大数据 ChatGPT概念 充电桩 高压快充 华为�N腾 新能源汽车 鸿蒙概念 智慧城市 滴滴概念股 物联网应用层 物联网感知层 驾驶培训,2024-08-26
002941.XSHE,新疆交建,西部大开发,"基建 一带一路,基建 新疆 一带一路,基建 新疆,西部大开发",西部大开发 实控人新疆国资委；公司是新更多...,水利 新型城镇化 PPP概念 新疆振兴 一带一路 ETC 土地流转 国企改革 西部开发 地方国企改革 基建工程,2024-08-26
002205.XSHE,国统股份,其他,"基建 水利 地下管廊,其他,水利 水网建设,基建 一带一路 水利,基建 一带一路 国企改革",西部大开发 中国物流集团旗下，我国大型更多...,新型城镇化 地下管网 水利 新疆振兴 PPP概念 雄安新区 装配式建筑 风电 国企改革 污水处理 央企国企改革 高铁 西部开发 节水灌溉 中铁系,2024-08-26
603080.XSHG,新疆火炬,天然气,"天然气 新疆,天然气",天然气 喀什天然气优质供应商，拥有更多...,天然气 新疆振兴 俄乌冲突概念 标普道琼斯A股 氢能源 天然气管道,2024-08-26
300531.XSHE,优博讯创,华为海思,"华为海思,数字人民币",华为海思 1、公司配合央行数研所、建更多...,数字货币 数据安全 数据确权 移动支付 人工智能 区块链 物联网 鸿蒙概念 芯片概念 电子身份证 华为海思概念股 智能物流 机器人概念 军工 新零售 信创 粤港澳大湾区 中俄贸易概念 人脸识别 国产软件 机器视觉 专精特新 数字经济 华为概念 智能医疗 电子商务 拼多多概念 数据要素 消费电子概念 智能制造 智慧政务 工业互联网 工业4.0 智能电网 智能音箱 食品安全 药品信息化追溯 金融科技 快递 医药安全 物联网应用层 区块链底层 智能金融,2024-08-25
300448.XSHE,浩云科技,车联网/车路云,"半导体 物联网,车联网/车路云",车联网/车路云 1、智慧物联网数据平台提供更多...,ETC 智能交通 人脸识别 安防 智能医疗 物联网 边缘计算 国产软件 芯片概念 区块链 人工智能 机器视觉 创投 百度概念 数字经济 数据要素 大数据 智慧城市 车联网(车路协同) 电力物联网,2024-08-25
001287.XSHE,中电港,华为海思,"华为海思,算力 英伟达,中字头 次新 电商 芯片",华为海思 1、全资子公司深圳市思尼克更多...,华为海思概念股 芯片概念 英伟达概念 中字头股票 国企改革 国家大基金持股 比亚迪概念 电子商务 大数据 国产软件 粤港澳大湾区 毫米波雷达 存储芯片 边缘计算 消费电子概念 新能源汽车 小米概念 WiFi 6 无线耳机 储能 MCU芯片 长安汽车概念 充电桩 数据要素 网络安全 智能电网 互联网医疗 语音技术 星闪概念 智能物流 跨境电商 机器人概念 人工智能 核污染防治 智能座舱 央企国企改革 元器件,2024-08-25
002084.XSHE,海鸥住工,房地产,"房地产,房地产 热泵,房地产 家具家居 热泵",房地产 公司主要从事高档卫生洁具、更多...,杭州亚运会 智能家居 人民币贬值受益 参股新三板 空气能热泵 3D打印 一带一路 台湾概念股,2024-08-25
300400.XSHE,劲拓股份,国产芯片,国产芯片,国产芯片 1、国内首家实现D-lam更多...,电子纸 MicroLED概念 富士康概念 机器人概念 机器视觉 OLED 柔性屏(折叠屏) 超清视频 华为概念 先进封装 芯片概念 第三代半导体 新型工业化 MiniLED 芯片设备 国产替代 屏下指纹技术 OLED设备制造 3D玻璃 工业机器人,2024-08-25
000755.XSHE,山西高速,游戏,"光伏 高速公路,游戏,高速公路+光伏+山西国资",游戏 公司主营业务为高速公路管理更多...,绿色电力 乡村振兴 一带一路 国企改革 智能交通 地方国企改革 山西国企改革,2024-08-25
000521.XSHE,长虹美菱,家电,"家电 业绩增长,家电,公告 业绩 一季报增长 家电 电商 消费 一带一路,家电 医疗器械",家电 公司完成了综合白电的产业布更多...,家用电器 空气能热泵 净水概念 智能家居 电子商务 独角兽概念 垃圾分类 冷链物流 工业互联网 医疗器械概念 参股新三板 小米概念 国企改革 血氧仪 一带一路 人工智能 北交所概念 鸿蒙概念 智能制造 地方国企改革 地热能 疫苗存储 含B股,2024-08-25
002967.XSHE,广电计量,飞行汽车/eVTOL,"低空经济 北斗导航 无人驾驶,低空经济 先进封装,eVTOL飞行器,飞行汽车/eVTOL",华为海思 1、公司与华为海思有技术合更多...,飞行汽车(eVTOL) 低空经济 无人机 食品安全 节能环保 华为概念 中芯国际概念 华为海思概念股 土壤修复 国企改革 大飞机 碳中和 机器人概念 卫星导航 新能源汽车 集成电路概念 无人驾驶 商业航天 粤港澳大湾区 职业教育 数据要素 地方国企改革 广东国企改革,2024-08-25
605183.XSHG,确成股份,业绩增长,"业绩增长,化工 新材料 次新",业绩增长 世界最大绿色轮胎专用高分散更多...,化学制品（行业） 新材料概念 一带一路 专精特新 养老金持股 白炭黑 饲料,2024-08-25
000877.XSHE,天山股份,,,NA NA(同花顺)更多...,水泥概念 新疆振兴 国企改革 一带一路 标普道琼斯A股 绿色电力 央企国企改革 西部开发 危废处理 工程建材 中材系,2024-08-25
600818.XSHG,中路股份,其他,"电力 自行车,知识产权 两轮车,风电 两轮车 中字头,其他,两轮车 电力,风电 一季报增长,风电",高空风能+自行车 高空风能+自行车1、公司位更多...,网红经济 知识产权保护 共享单车 两轮车 风电 共享经济 化妆护肤品 迪士尼 含B股 参股新股,2024-08-22
002986.XSHE,宇新股份,其他,其他,石油石化+有机化工产品+半年报营收增长 石油石化+有机化工产品+半更多...,可降解塑料 国六概念,2024-08-22
300005.XSHE,探路者创,纺织服装 体育产业,纺织服装 体育产业,航天户外服装+户外用品+商业航天 航天户外服装+户外用品+商更多...,体育产业 露营经济 网络直播 电子商务 智能穿戴 足球概念 冰雪产业 新零售 芯片概念 MiniLED 商业航天 2024中报预增 大消费 体育用品,2024-08-22
301149.XSHE,隆华新材,风电,风电,PA66产品+聚醚系列产品+产品可应用于宇航服+半年报增长 PA66产品+聚醚系列产品更多...,新材料概念 建筑节能 锂电池概念 风电 体育产业 装配式建筑 高铁 智能家居 智能制造 数字营销 电解液 建筑涂料 锦纶 汽车制造概念 PA66,2024-08-22
301487.XSHE,盟固利创,固态电池,"固态电池,次新股 锂电池",固态电池+锂电池+钠离子电池 固态电池+锂电池+钠离子电更多...,固态电池 钠离子电池 宁德时代概念 锂电池概念 比亚迪概念 注册制次新股 新股与次新股 动力电池回收,2024-08-22
002354.XSHE,天娱数科,游戏,"游戏 人工智能 AIGC,传媒 游戏 人工智能,游戏 元宇宙 AIGC,游戏,传媒 影视 数字虚拟人 人工智能,ChatGPT 算力 人工智能",NA NA(同花顺)更多...,快手概念 Web3.0 数据确权 手机游戏 文化传媒概念 电子竞技 网络游戏 互联网金融 抖音概念 虚拟数字人 元宇宙 东数西算(算力) 大数据 数字经济 虚拟现实 AIGC概念 跨境电商 在线教育 乡村振兴 信创 ChatGPT概念 人工智能 百度概念 数据要素 数字孪生 算力租赁 短剧游戏 腾讯概念 MR(混合现实) 多模态AI 网络直播 Sora概念(文生视频) 影视娱乐 IP概念,2024-08-22
002799.XSHE,环球印务,此前为西凤酒包装+医药包装+抖音概念+ChatGPT,"此前为西凤酒包装+医药包装+抖音概念+ChatGPT,包装印刷 区块链",此前为西凤酒包装+医药包装+抖音概念+ChatGPT 抖音概念+ChatGPT+更多...,数字经济 区块链 大数据 抖音概念 快手概念 国企改革 ChatGPT概念 虚拟数字人 智能制造 文化传媒概念 百度概念 阿里巴巴概念 智能物流 新冠疫苗 地方国企改革 数字营销,2024-08-22
002479.XSHE,富春环保,环保,环保,环保 国内最大的环保公用型垃圾、更多...,生物质能发电 绿色电力 固废处理 节能环保 垃圾分类 股权转让 金属回收 PPP概念 国企改革 高股息精选 黄金概念 金属铜 以纸代塑概念 地方国企改革 纸浆 稀有金属 余热发电,2024-08-22
301316.XSHE,慧博云通,华为海思,"华为海思,信创 人工智能 金融科技,人工智能,信创 人工智能 数字经济",华为海思 公司合作企业有中国移动、华更多...,信创 ChatGPT概念 AIGC概念 小米概念 国产软件 华为海思概念股 大数据 物联网 数字经济 人工智能 云计算 百度概念 阿里巴巴概念 智能音箱 机器视觉 华为概念 数据要素 虚拟现实 边缘计算 抖音概念 智能医疗 小米汽车 车联网(车路协同) 机器人概念,2024-08-21
601921.XSHG,浙版传媒,游戏,"游戏,传媒,次新股 传媒 元宇宙",游戏 公司子公司为《黑神话：悟空更多...,短剧游戏 文化传媒概念 网络游戏 在线教育 NFT概念 国企改革 数据要素 国资云 高股息精选 新零售 大数据 地方国企改革,2024-08-21
300461.XSHE,田中精机,苹果产业链,"苹果产业链,消费电子 苹果 新型工业化 智能制造,被动元件",智能制造 1、公司为苹果提供手机无线更多...,无线充电 消费电子概念 苹果概念 工业4.0 长三角一体化 无线耳机 汽车电子 新型烟草 新型工业化,2024-08-21
002201.XSHE,正威新材,其他,"化工 新材料 电力,其他,风电 玻璃纤维 新能源汽车,风电 玻璃纤维,风电 建材 玻璃纤维",其他 1、公司的主要产品类别玻璃更多...,化学制品（行业） 新材料概念 商业航天 比亚迪概念 风电 高铁 轨道交通 航空航天 特种玻璃 玻璃纤维,2024-08-21
002577.XSHE,雷柏科技,游戏,"AIPC,消费电子 智能音箱 ChatGPT,游戏 笔记本电脑 星闪概念,消费电子 人工智能 机器人,AI眼镜+无线鼠标+网络游戏,游戏,消费电子 人工智能,华为星闪 消费电子 机器人",游戏 1、公司已加入星闪联盟；主更多...,消费电子概念 人工智能 智能穿戴 无线充电 机器人概念 百度概念 无线耳机 电子竞技 星闪概念 网络游戏 跨境电商 电子商务 新零售 王者荣耀 体感交互,2024-08-21
300469.XSHE,信息发展,华为产业链,"股权转让,华为产业链,无人驾驶",华为产业链 公司是上海鲲鹏生态联盟成员更多...,车联网(车路协同) 智能交通 智慧政务 腾讯概念 区块链 阿里巴巴概念 食品安全 国产软件 数字乡村 工业大麻 卫星导航 国企改革 人工智能 数字经济 数据要素 股权转让 药品信息化追溯 数字中国 区块链应用 数据存储,2024-08-21
002691.XSHE,冀凯股份,机械,"机器人 3D打印 矿山装备 公告 拟设子公司,机械设备 基建 有色,矿山装备 3D打印 一带一路,机器人 3D打印 矿山装备,机器人 有色金属,机械,新型工业化 机械设备 3D打印",半年报增长+矿山装备+机器人+3D打印 半年报增长+矿山装备+机器更多...,中俄贸易概念 3D打印 机器人概念 煤炭概念 2024中报预增,2024-08-21
603980.XSHG,吉华集团,其他,"石油化工 染料,其他",石油化工 公司位于全球最大的染料生产更多...,化学制品（行业） 染料 2024中报预增,2024-08-21
300421.XSHE,力星股份,人形机器人+精密轴承滚动体+工业母机+高铁,人形机器人+精密轴承滚动体+工业母机+高铁,人形机器人+精密轴承滚动体+工业母机+高铁 人形机器人+精密轴承滚动体更多...,减速器 人形机器人 工业母机 风电 新能源汽车 机器人概念 高铁 理想汽车概念 蔚来汽车概念,2024-08-21
605177.XSHG,东亚药业,,医药 医药生物 原料药,NA NA(同花顺)更多...,生物医药 合成生物,2024-08-21
300949.XSHE,奥雅股份,山西文旅+AIGC+虚拟数字人+算力租赁,"人工智能 算力 旅游 公告 全资子公司签订《算力服务器采购合同》,AIGC 元宇宙 虚拟数字人 算力,人工智能 新型城镇化 公告 全资子公司签订《算力服务器采购合同》,山西文旅+AIGC+虚拟数字人+算力租赁,AIGC 人工智能 算力",山西文旅+AIGC+虚拟数字人+算力租赁 山西文旅+AIGC+虚拟数更多...,新型城镇化 算力租赁 虚拟数字人 粤港澳大湾区 元宇宙 NFT概念 智慧城市 腾讯概念 露营经济 大数据 三胎概念 AIGC概念 人工智能 东数西算(算力) 旅游概念 虚拟现实 海绵城市,2024-08-21
002303.XSHE,美盈森,业绩增长,业绩增长,半年报增长+拟10派3.2元(含税)+预制菜+包装印刷 半年报增长+拟10派3.2更多...,人造肉 工业大麻 预制菜 工业4.0 军民融合 标普道琼斯A股 区块链 台湾概念股 环保包装,2024-08-20
300647.XSHE,超频三创,游戏,"固态电池 数据中心 业绩增长,5G 新能源汽车 锂电池,其他,消费电子 固态电池 数据中心,游戏",散热器件+消费电子+数据中心+锂电池 PC散热+消费电子+数据中更多...,消费电子概念 智慧灯杆 5G 节能照明 锂电池概念 智慧城市 动力电池回收 数据中心 杭州亚运会 磷酸铁锂 锂电原料,2024-08-20
300518.XSHE,新迅达创,游戏,"游戏,跨境电商 固态电池",NA NA(同花顺)更多...,网红经济 网络游戏 手机游戏 锂电池概念 网络直播 锂矿,2024-08-20
603192.XSHG,汇得科技,锂电池,"锂电池,聚氨酯树脂 汽车热管理,化工 汽车热管理",半年报增长+聚氨酯树脂+汽车热管理 半年报增长+聚氨酯树脂+汽更多...,化学制品（行业） 汽车热管理 新能源汽车 专精特新 合成革,2024-08-20
300788.XSHE,中信出版,,"传媒 教育 中字头,传媒 教育 知识产权,传媒 教育,AI+传媒 人工智能,传媒 人工智能 中字头",NA NA(同花顺)更多...,知识产权保护 文化传媒概念 AIGC概念 职业教育 元宇宙 电子商务 中字头股票 国企改革 百度概念 数据要素 抖音概念,2024-08-20
603169.XSHG,兰石重装,核电+氢能源+国企,"氢能 电力 核电,核电+氢能源+国企",核电+氢能源+国企 核电+氢能源+国企行业原因更多...,氢能源 节能环保 高端装备 核电 一带一路 煤化工概念 天然气 军工 超超临界发电 光伏概念 中俄贸易概念 锂电池概念 机器人概念 光热发电 储能 国企改革 一体化压铸 核污染防治 可控核聚变 新材料概念 智能制造 航空发动机 地方国企改革 磷酸铁锂 正极材料 基建工程 兰州自贸区 甘肃国企改革,2024-08-20
300718.XSHE,长盛轴承,机器人+宇树科技+自润滑轴承+核电,机器人+宇树科技+自润滑轴承+核电,机器人+宇树科技+自润滑轴承+核电 机器人+宇树科技+自润滑轴更多...,机器人概念 专精特新 长三角一体化 特斯拉概念 核电 风电,2024-08-20
300328.XSHE,宜安科技,折叠屏,折叠屏,AI眼镜+折叠屏+华为+液态金属+深圳国资 AI眼镜+折叠屏+华为+液更多...,比亚迪概念 新能源汽车 减速器 特斯拉概念 5G 新材料概念 华为概念 医疗器械概念 宁德时代概念 有机硅概念 一体化压铸 机器人概念 消费电子概念 小米概念 国企改革 智能座舱 毫米波雷达 地方国企改革 液态金属 湖南国企改革,2024-08-20
300150.XSHE,世纪瑞尔,高铁轨交,高铁轨交,高铁轨交 公司是中国铁路行车安全监控更多...,安防 京津冀一体化 专精特新 高铁 轨道交通 新基建,2024-08-19
603839.XSHG,安正时尚,纺织服装,"纺织服装,跨境电商 电子商务 纺织服装,其他",纺织服装 公司为中高档时尚女装小龙头更多...,抖音概念 网络直播 新零售 三胎概念 长三角一体化 电子商务 大消费,2024-08-19
002915.XSHE,中欣氟材,其他,"PEEK材料 氟化工,其他,PEEK材料 氟化工 机器人 公告 拟定增,制冷剂 氟化剂 新冠药物,机器人,PEEK材料 氟化工 机器人,制冷剂 氟化工,氟化工 固态电池 钠离子电池",其他 1、国内氟化工精细化学品行更多...,化学制品（行业） PEEK材料 新材料概念 钠离子电池 氟化工概念 专精特新 固态电池 萤石 氢氟酸,2024-08-19
